sentenca,categoria
"Atendimento bom, lugar pequeno, porém aconchegante onde podes escolher entra área externa ou interna.","geral,serviço,ambiente"
Lugar agradável atendimento não é muito bom por alguns garçons do segundo piso voltaria pela pizza,"geral,serviço,comida"
"Pra quem gosta de uma vida noturna, este é um bar histórico e com uma tradição forte para os moradores de Manaus, tem um sanduíche de pernil que é fora de serie, som, petiscos, um povo muito hospitaleiro e bem no Centro da cidade!","geral,comida,ambiente,localização"
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.",geral
Localizado em um ótimo shopping em Manaus.,localização
"Boa opção para um almoço casual, boa opção para estar com os amigos, boa opção para um jantar aconchegante, boa opção para levar amigos que estão conhecendo a cidade... Enfim, para todas as ocasiões, uma opção que satisfaz todos os gostos!!",geral
"Mesas dispostas na calçada e rua, petiscos bem servidos e  boa variedade, cerveja trincando de gelada.","ambiente,comida,bebida"
ótima opção de lazer.,geral
"No Abare podemos degustar de petiscos e pratos incríveis e ainda aproveitar a paisagem natural que deixe o Local mais agradável ainda, parabéns!","comida,ambiente"
Precisa fechar uma área maior.,ambiente
Alimentação excepcional!,comida
"Ambiente tranquilo, uma ótima opção!!!","ambiente,geral"
"Preço acima da média, contudo, excelente opção para uma boa refeição.","preço,comida"
Restaurante regional de Manaus.,geral
Excelente opção para lanche ou rodízio de sopas em Manaus.,comida
"Melhor churrascaria de Manaus, ótimo atendimento.","geral,serviço"
"Adorei , atendimento excelente e os pratos uma delicia e uma paisagem espetacular !!!","geral,serviço,comida,ambiente"
"Banzeiro,um restaraurante com a verdadeira culinária amazônica e ótimos pratos,um restaurante excelente para ir com a família ou amigos.",geral
"Pizzaria péssima, atendimento péssimo","geral,serviço"
"Ótima opção para um descanso no fim de semana, possui um delicioso restaurante flutuante com locação  de pranchas para praticar sup.","geral,ambiente"
"Restaurante de culinária portuguesa, de longa tradição em Manaus (mais de 20 anos), o Alentejo não decepciona aos amantes de uma boa bacalhoada, em todas as suas mais diversas variedades.","geral,comida"
"Pelo menos, na minha experiência, a única opção de carne gorda (carne suculenta) era costela, e mesmo assim estava bem seca (ressecada e borrachuda).",comida
Ótimo restaurante!,geral
Excelente opção para um ambiente confortável.,ambiente
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
Pontos negativos: - Cardápio caro e sem opção saudável.,comida
Restaurante maravilhoso,geral
"Ambiente tranquilo, aconchegante, boa música ao fundo e, o que mais gostei, tem opção vegetariana no cardápio.","ambiente,comida"
Um dos ambientes tem um jardim de inverno maravilhoso.,ambiente
"Lugar fica no centro histórico da cidade, vale a pena conhecer.",geral
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!","ambiente,serviço"
"Bom local, instagramável, funcionários simpáticos, ambientes com espaço kids, área externa pra rua e pro bairro, showzinho ao vivo, área interna climatizada com 2 andares, tendo referência locais e até de série.","geral,ambiente,serviço"
"Tudo muito agradável, até dente José Gregório muito atencioso!","geral,serviço"
